Course Name,Role,Last Name,First Name,Affiliation,Location,Position at Affiliation,Notes,,
Embryology,Faculty,Martindale,Mark,University of Hawaii,,,,,
Embryology,Faculty,McClay,David,Duke University,,,,,
Embryology,Faculty,Ronshaugen,Matthew,University of Manchester,,,,,
Embryology,Faculty,Rothman,Joel,"University of California, Santa Barbara",,,,,
Embryology,Faculty,Sanchez,Alejandro,University of Utah School of Medicine,,,,,
Embryology,Faculty,Seaver,Elaine,University of Hawaii,,,,,
Embryology,Faculty,Sherwood,David,Duke University,,,,,
Embryology,Faculty,Trainor,Paul,Stowers Institute for Medical Research,,,,,
Embryology,Faculty,Wallingford,John,University of Texas at Austin,,,,,
Embryology,Faculty,Zeller,Robert,San Diego State University,,,,,
Embryology,Lecturer,Appel,Bruce,University of Colorado Denver,,,,,
Embryology,Lecturer,Behringer,Richard,M.D. Anderson Cancer Center,,,,,
Embryology,Lecturer,Berg,Celeste,University of Washington,,,,,
Embryology,Lecturer,Crabtree,Gerald,Stanford University,,,,,
Embryology,Lecturer,Lecuit,Thomas,Centre National de la Recherche Scientifique,,,,,
Embryology,Lecturer,Maddox,Paul,University of Montreal,,,,,
Embryology,Lecturer,Maddox,Amy,University of Montreal,,,,,
Embryology,Lecturer,Prince,Victoria,University of Chicago,,,,,
Embryology,Lecturer,Rossant,Janet,The Hospital for Sick Children,,,,,
Embryology,Lecturer,Shapiro,Michael,University of Utah,,,,,
Embryology,Lecturer,Sussel,Lori,Columbia University,,,,,
Embryology,Lecturer,Swalla,Billie,University of Washington,,,,,
Embryology,Teaching Assistant,Barlow,Amanda,Stowers Institute for Medical Research,,,,,
Embryology,Teaching Assistant,Bertocchini,Federica,University College London,,,,,
Embryology,Teaching Assistant,Bhattacharya,Dipankan,Yale University,,,,,
Embryology,Teaching Assistant,Browne,William,University of Miami,,,,,
Embryology,Teaching Assistant,Chang,Chenbei,University of Alabama at Birmingham,,,,,
Embryology,Teaching Assistant,Croce,Jenifer,Centre National de la Recherche Scientifique,,,,,
Embryology,Teaching Assistant,Daggett,Dave,University of Connecticut,,,,,
Embryology,Teaching Assistant,Dubuis,Julien,Princeton University,,,,,
Embryology,Teaching Assistant,Fairclough,Stephen,"University of California, Berkeley",,,,,
Embryology,Teaching Assistant,Gerhold,Abigail,"University of California, Berkeley",,,,,
Embryology,Teaching Assistant,Grande,Maria Cristina,Universidad Autonoma de Madrid,,,,,
Embryology,Teaching Assistant,Guedelhoefer,Otto,University of Utah,,,,,
Embryology,Teaching Assistant,Hafezi,Yassi,"University of California, Berkeley",,,,,
Embryology,Teaching Assistant,Hagedorn,Elliott,Duke University,,,,,
