Institution,Institution URI
University Of Georgia School Of Medicine,http://history.archives.mbl.edu/concepts/institution/9538a371-0f52-490b-acc1-93100a7424be
Massachusetts Department Of Health,http://history.archives.mbl.edu/concepts/institution/4533e870-cb4e-4ed6-9c96-758d2bcff964
Ibm Corp,http://history.archives.mbl.edu/concepts/institution/db387a1a-6ad1-4e8e-8c25-ce5f28cf2039
Krasnow Institute,http://history.archives.mbl.edu/concepts/institution/d5ac0995-1169-41e5-9413-641c2c31eeae
Shaw School Of Botany,http://history.archives.mbl.edu/concepts/institution/3d8e63bd-78b7-4ce7-92e7-ed2b1e685d7b
National University Of Cordoba,http://history.archives.mbl.edu/concepts/institution/d1582ba9-cf22-45a8-b105-b074fc895b58
Iscr Edinburgh University,http://history.archives.mbl.edu/concepts/institution/caf8120c-6d95-4353-8e47-d27540d96aa3
Gau Gottingen,http://history.archives.mbl.edu/concepts/institution/25fe46b2-5ca8-4e0f-9a9e-6a18c496f708
Chicago University,http://history.archives.mbl.edu/concepts/institution/a0d870aa-84de-4456-a2c1-ed8c9c2d4f46
University Of Osnabruck,http://history.archives.mbl.edu/concepts/institution/0f32918f-814a-4fdc-a545-b186b3bc5eef
National Institute Of Nutrition,http://history.archives.mbl.edu/concepts/institution/003301eb-6132-4b0c-bfa7-a7ec01b79f1b
Osaka University Medical School,http://history.archives.mbl.edu/concepts/institution/c934782d-4284-4280-9e67-f5e408fb5f98
Max Planck Institute For Developmental Biology,http://history.archives.mbl.edu/concepts/institution/39692b80-0e92-45cd-8de7-c40b1374645a
Plant Breeding Laboratory Department Of Agriculture,http://history.archives.mbl.edu/concepts/institution/238cb6a9-b632-482d-acb1-b3a366d763dc
University Of Tuscia,http://history.archives.mbl.edu/concepts/institution/4362cc99-9b6d-4b9a-817d-5885213b140f
Rush College Of Nursing And Graduate College,http://history.archives.mbl.edu/concepts/institution/a7203177-0266-4240-8574-c041ac66bea5
Maniilaq Health Center,http://history.archives.mbl.edu/concepts/institution/2743bbb6-24d1-42a5-8724-9b1abb1535cb
Dept Of Zoology Depauw University,http://history.archives.mbl.edu/concepts/institution/6aa925c5-e383-493b-91bd-902931ec48eb
Upstate Medical University,http://history.archives.mbl.edu/concepts/institution/b1b8bce6-ceef-4f62-94cd-b9d03f6512fa
Philipps University Marburg,http://history.archives.mbl.edu/concepts/institution/8993468b-295e-4612-a867-5997bc0da7d5
Oshkosh Normal School,http://history.archives.mbl.edu/concepts/institution/821fe798-55f7-4da7-b7ee-af8dbefb0472
Stazione Zoologica A Dohrn,http://history.archives.mbl.edu/concepts/institution/c12fec06-f136-4ed4-aa54-d0c29b19fabd
Seattle Biomedical Research Center,http://history.archives.mbl.edu/concepts/institution/141f3357-5355-44eb-862f-62b0925bc366
Institute For Drug Research,http://history.archives.mbl.edu/concepts/institution/3e8934a1-8e65-4f70-8fbc-6982bb43d035
La Biomed,http://history.archives.mbl.edu/concepts/institution/d953dbcd-52ee-4394-8277-b8ee104725fb
Columbia University Institute Of Cancer,http://history.archives.mbl.edu/concepts/institution/8a71ecc6-8351-47ff-a168-1383ea98fbaa
University Of Connecticut School Of Medicine,http://history.archives.mbl.edu/concepts/institution/e7c896ee-765f-4d34-a199-b8b92c171f21
Emory Univeristy,http://history.archives.mbl.edu/concepts/institution/b99f9d2a-bb9a-4d5b-abce-39b96a2798aa
Framingham Normal School,http://history.archives.mbl.edu/concepts/institution/1dde1753-e4c9-445f-91c1-597322cbe26b
University Of Texas Southwestern Med,http://history.archives.mbl.edu/concepts/institution/8ef3b17d-ed63-474b-a525-97829d914c83
Guilford College,http://history.archives.mbl.edu/concepts/institution/f95b085b-e96c-4918-8438-593b1031d5fe
