Location,Location URI
"295 pennsylvania ave., brooklyn, ny",http://history.archives.mbl.edu/concepts/location/6ef53f3d-28d2-493a-8ef9-1b31135045bf
"210 giddings street, chicago, il",http://history.archives.mbl.edu/concepts/location/65cc9ec9-3e2d-4d7c-81a9-0218465285ec
amherst,http://history.archives.mbl.edu/concepts/location/acf97176-0ea2-4e84-bdc1-8e25fec3b798
la jolla,http://history.archives.mbl.edu/concepts/location/c1ffeff0-3543-4aaf-9000-ca19e772c165
"montreal, can",http://history.archives.mbl.edu/concepts/location/f020112f-d824-4ec5-98bb-35785b7f130c
"greenfield, ma",http://history.archives.mbl.edu/concepts/location/24f019fd-aa33-4a9d-b2ca-2520c1bf4acf
"205 e. main street, clarksburg, ca",http://history.archives.mbl.edu/concepts/location/febffee2-db75-496e-b790-47c0083ec280
"montreal, quebec, canada",http://history.archives.mbl.edu/concepts/location/c391be3b-8798-4a1f-a8e3-dd6b5f0a4019
"bonn, germany",http://history.archives.mbl.edu/concepts/location/e6ab389e-fcdb-4d7a-9592-c38768d34506
"poughkeepsi, ny",http://history.archives.mbl.edu/concepts/location/c52cd284-476e-485e-9c43-c189bd602a1b
"shreveport, la",http://history.archives.mbl.edu/concepts/location/e8116982-94c6-476d-afbf-5f39913ad3da
"villefranche, france",http://history.archives.mbl.edu/concepts/location/06c704c8-3553-4144-bb98-4f9cd51f7e8b
"frankford, pa",http://history.archives.mbl.edu/concepts/location/eab842ff-b98f-4282-9265-73dd816e91c1
"konstanz, germany",http://history.archives.mbl.edu/concepts/location/4fcad80f-def3-4f2b-96ee-fe2db12356e8
indiana,http://history.archives.mbl.edu/concepts/location/efbabe4b-a0df-46a6-bbf7-a4cfea296427
"rivendale, ny",http://history.archives.mbl.edu/concepts/location/759330bb-08b7-41ab-9100-e25c4a88e1d4
"st. louis, mo.",http://history.archives.mbl.edu/concepts/location/e6e9623b-7e42-42fa-aa2d-a79daaf2666a
tampa,http://history.archives.mbl.edu/concepts/location/d7c5fa2a-3adf-4e22-a737-c628e666c0cf
ma,http://history.archives.mbl.edu/concepts/location/db2d6358-1a0a-4b98-b42d-7ac126bf2579
"murray hill, nj",http://history.archives.mbl.edu/concepts/location/33ffc0b6-613e-4b50-82d9-4e4913bb0962
mn,http://history.archives.mbl.edu/concepts/location/ffc46e8a-892a-4094-b082-532bff72beed
mi,http://history.archives.mbl.edu/concepts/location/78122ae4-6f66-4b38-8f48-18fc6b9daa6d
"west lafayette, ind",http://history.archives.mbl.edu/concepts/location/450fbd41-6fa3-479c-9f73-d04bdfc9a11a
rio piedras,http://history.archives.mbl.edu/concepts/location/88edd90e-abc1-4c8e-8413-427f06cf3cab
ann arbor,http://history.archives.mbl.edu/concepts/location/38a56418-01e7-4950-9e47-6a038f37b4e2
"washington, dc",http://history.archives.mbl.edu/concepts/location/86214fc8-ad79-46be-8e9c-13f8110ed39d
"collegeville, pa",http://history.archives.mbl.edu/concepts/location/263f2d4d-fa6e-4a97-820b-45f3230a5398
"sundbyberg, sweden",http://history.archives.mbl.edu/concepts/location/05310400-800a-44d2-a454-42648157410e
bellevue medical center,http://history.archives.mbl.edu/concepts/location/711babf8-cd0d-4b96-acc2-5a3604568d37
india,http://history.archives.mbl.edu/concepts/location/3a513cde-2712-42bd-89e5-93adcefddfd0
school of medicine.,http://history.archives.mbl.edu/concepts/location/100a31d4-5869-47ea-b8f2-c9328a3d1b25
new jersey.,http://history.archives.mbl.edu/concepts/location/0f44f874-46d4-495d-9fa5-f623881ead65
"wales, uk",http://history.archives.mbl.edu/concepts/location/146c7b2e-4a88-4148-818b-63be0e7f2a19
"archdiocese, new york city",http://history.archives.mbl.edu/concepts/location/c1547bbf-db7a-4d7c-b8a6-ac8cf49c0b44
"105 south 41st street, philadelphia, pa",http://history.archives.mbl.edu/concepts/location/dd07cc12-299a-4ca8-9cc3-92e99b99284e
italy,http://history.archives.mbl.edu/concepts/location/2d887b09-910a-452c-9fe5-957e25614697
"54 dale street, roxbury, ma",http://history.archives.mbl.edu/concepts/location/89f5b9b7-3cf3-49f7-882d-ad16009deb10
purchase,http://history.archives.mbl.edu/concepts/location/52709592-d9a6-43c0-b099-3eb935b75e30
san francisco; howard hughes medical institute,http://history.archives.mbl.edu/concepts/location/bd49cc1a-890b-4046-90a1-86bee2f77a73
"orleans, ma",http://history.archives.mbl.edu/concepts/location/7ad75715-b0f2-42af-968a-09dffa3c8a2b
"kingston, ontario",http://history.archives.mbl.edu/concepts/location/76192fb3-c74e-499c-bd31-78935892760e
"utrecht, holland",http://history.archives.mbl.edu/concepts/location/af6de1bf-df44-4b6d-98f9-3b4c00386edd
"san francisco, cal",http://history.archives.mbl.edu/concepts/location/3f6f8d11-03d6-4bf8-ad88-6952e1b30775
"936 beacon street, brookline, ma",http://history.archives.mbl.edu/concepts/location/b491cf04-8427-474c-b65e-2c52edbf64c1
"baltimore, md",http://history.archives.mbl.edu/concepts/location/79fdc2f0-0166-4380-9e6a-73326a965091
"south braintree, ma",http://history.archives.mbl.edu/concepts/location/78da94f9-e799-4593-8ab5-7bf4654cf65b
"722 king st., pottstown, pa",http://history.archives.mbl.edu/concepts/location/15330717-41ba-422b-b172-5eb5a5558a7d
rhode island,http://history.archives.mbl.edu/concepts/location/1af520e6-a469-4305-992a-0136a2d2cd78
"107 east 64th st., new york, ny",http://history.archives.mbl.edu/concepts/location/f3bd0670-a88a-46f2-a8c3-99e05e249aef
london,http://history.archives.mbl.edu/concepts/location/5e6e4c56-a81c-4cb0-8f9c-76e62b46df95
"1 rockefeller plaza, new york, ny",http://history.archives.mbl.edu/concepts/location/2cba8598-51e1-47e6-9e9b-bfb3d08e17a5
japan,http://history.archives.mbl.edu/concepts/location/d13d258a-3dd1-4ddd-a740-db2fb2d2bd1d
"ontario, cananda",http://history.archives.mbl.edu/concepts/location/82c79e68-e37e-41c4-a64d-acd067054260
"napoli, italy",http://history.archives.mbl.edu/concepts/location/18ddc1c9-c9a8-499d-8576-10bb1109f410
polytechnic institute,http://history.archives.mbl.edu/concepts/location/9f1749e0-7e4a-4678-bb5b-094575433ce6
"4402 pine st., philadelphia, pa",http://history.archives.mbl.edu/concepts/location/2a0e19de-7ee0-4052-aabc-737cce560170
denver,http://history.archives.mbl.edu/concepts/location/23b12e4a-d43a-44a2-84e9-343431fbcd47
"568 fifth ave, new york, ny",http://history.archives.mbl.edu/concepts/location/504901ad-89b7-4ad5-9748-7c22afedb028
wales,http://history.archives.mbl.edu/concepts/location/87216070-c428-4841-98c7-b3f96d19982b
"hackettstown, nj",http://history.archives.mbl.edu/concepts/location/16283484-7703-4aea-9672-20e181b435ac
national institute of mental health,http://history.archives.mbl.edu/concepts/location/d224f6e2-55bb-43c4-b841-fea0526d16d8
"indianola, ia",http://history.archives.mbl.edu/concepts/location/11ffae6b-2d80-4100-8cb6-0855a7bb9b3f
"dallas, tx",http://history.archives.mbl.edu/concepts/location/eefc0f28-015b-40b9-8642-f94c384c6683
graduate assistant,http://history.archives.mbl.edu/concepts/location/caa84a1c-53cc-4e87-b523-bdc7ca0c6de2
"gottingen, frg",http://history.archives.mbl.edu/concepts/location/6299dbc5-191a-4fb9-a9e0-73bfede3cc0e
"40 west 85th st., new york, ny",http://history.archives.mbl.edu/concepts/location/1b804349-fd5e-4073-9589-663a6f7b6e7a
"341 prescott street, toledo, oh",http://history.archives.mbl.edu/concepts/location/3540f8ad-bd69-41ca-ba9d-078b17aa16ba
netherlands,http://history.archives.mbl.edu/concepts/location/71e391aa-c62b-4cb9-a5fa-4586326fda7f
w. germany,http://history.archives.mbl.edu/concepts/location/9f0a0449-2ce7-4d5d-bda8-7f1aeaaf7b13
"winthrop, ma",http://history.archives.mbl.edu/concepts/location/c098fa64-bde7-44eb-b21b-ea91cfd6b306
"ross street, germantown, pa",http://history.archives.mbl.edu/concepts/location/af04a6b2-722a-4dd3-8d73-5c14b265d6bc
"98 east 114th street, new york, ny",http://history.archives.mbl.edu/concepts/location/6d205a3c-dea1-4d4d-b0f4-14fabfaac02f
"rehovot, israel",http://history.archives.mbl.edu/concepts/location/d92db214-31da-4247-88a9-916956647182
"weyers cave, va",http://history.archives.mbl.edu/concepts/location/e1e178c2-744b-4c7a-b71f-248044da6923
"98 morningside ave., new york, ny",http://history.archives.mbl.edu/concepts/location/287a3cf5-afa3-4a6e-9996-c55af0fcc847
"milano, italy",http://history.archives.mbl.edu/concepts/location/25ffbc89-6857-48ab-b919-b93d72f425f3
"802 north washington st., baltimore, md",http://history.archives.mbl.edu/concepts/location/4e47336a-50bf-4b2e-9515-f16e0aa48e06
"box 339, poughkeepsie, ny",http://history.archives.mbl.edu/concepts/location/7ee90c59-8d14-46f5-9674-41d15e174317
"333 central park west, new york 25",http://history.archives.mbl.edu/concepts/location/8a3f6b59-6dac-42b5-9b9c-5fdb92626401
jugoslavia,http://history.archives.mbl.edu/concepts/location/3b2d4eec-e16c-4eb2-b1e9-211fbcf71f6b
"staunton, va",http://history.archives.mbl.edu/concepts/location/18f2973c-8cbd-43b4-a290-a0eabc6aa61e
"wellessley, ma",http://history.archives.mbl.edu/concepts/location/8469503e-a9fd-46e6-97a4-e68f015118d7
"east columbus, oh",http://history.archives.mbl.edu/concepts/location/2f372268-5a22-4c3e-8c46-7b20b385e5dd
"munich, germnay",http://history.archives.mbl.edu/concepts/location/15606369-01e4-4bac-9060-823ef23c1ae3
chapil hill,http://history.archives.mbl.edu/concepts/location/f9549e0e-bdd2-4ec7-9119-1fec81c0db62
kuwait,http://history.archives.mbl.edu/concepts/location/38b61ff4-a09b-479c-a82a-3013ff3d099e
urbana,http://history.archives.mbl.edu/concepts/location/f44b5c9a-cf87-4d98-8d1b-4dd41a544951
"115 brattle st., cambridge, ma",http://history.archives.mbl.edu/concepts/location/c5690754-0892-491f-a968-68cc3f745ae1
"istanbul, turkey",http://history.archives.mbl.edu/concepts/location/4bc44529-0336-42ed-b288-9073cc82be54
venezuela,http://history.archives.mbl.edu/concepts/location/59656219-0014-4700-89d7-c563189f0f63
"williamsport, pa",http://history.archives.mbl.edu/concepts/location/848af5fc-69ed-4b76-8ccd-60fdd30f6b4a
"utrecht, the netherlands",http://history.archives.mbl.edu/concepts/location/61eb594a-9604-48ed-89c3-0fc273d3345c
"newton centre, ma",http://history.archives.mbl.edu/concepts/location/7d121713-91c3-4b3d-80d9-6df63e3d6f35
"emporia, ks",http://history.archives.mbl.edu/concepts/location/c56db96c-6050-45d2-9fd7-dbe5847d7395
"bloomfield hills, michigan",http://history.archives.mbl.edu/concepts/location/5b9a583e-c2f4-4a66-bec8-78aeed170a66
"berlin, germany",http://history.archives.mbl.edu/concepts/location/c855643d-4e2b-4383-8b62-954eb73439b1
"platteville, wi",http://history.archives.mbl.edu/concepts/location/d3493b15-bfe8-4557-88bd-e646ba8fb8d5
"pratt, ks",http://history.archives.mbl.edu/concepts/location/9637b07d-6bbf-44d2-aa69-1ee37a06c3d8
venezuala,http://history.archives.mbl.edu/concepts/location/04a2a525-5996-4c96-a38e-99c9165102a4
"gales ferry, ct",http://history.archives.mbl.edu/concepts/location/b8fb87fa-bdde-47e1-9b63-2bf8c991cd1b
"orono, me",http://history.archives.mbl.edu/concepts/location/2f06806b-abf1-4bce-9184-b47c32905ad1
"bronx, new york, ny",http://history.archives.mbl.edu/concepts/location/48ffb536-8738-49c1-8ebb-cfe5283b3877
long island,http://history.archives.mbl.edu/concepts/location/2705cece-d2f5-489a-976a-4b24bcd05948
"new brunswick, canada",http://history.archives.mbl.edu/concepts/location/21d56c69-ba7e-4043-87c8-0f5fbf14b9ed
"1414 girard st., n.w. washington, d.c.",http://history.archives.mbl.edu/concepts/location/1eb098be-d1f2-4f80-884a-72a90b335e55
"23 west 44th street, new york, ny",http://history.archives.mbl.edu/concepts/location/1d0f31eb-c57a-4336-96fb-e5b3f69a8cea
"delphos, ks",http://history.archives.mbl.edu/concepts/location/0237bf2d-c7a3-43e6-9d16-266341f41a13
"gambier, oh",http://history.archives.mbl.edu/concepts/location/29bef810-31a6-40eb-9f57-811aec18bdb3
"winchester, mass",http://history.archives.mbl.edu/concepts/location/68aaff5a-f974-4be2-b2d4-fd2a4a221fdc
rumania.,http://history.archives.mbl.edu/concepts/location/c8813b09-f866-492c-94eb-46bacd4700d3
heights,http://history.archives.mbl.edu/concepts/location/d2d515c5-3938-415b-a13f-b40f2f8cb757
new york,http://history.archives.mbl.edu/concepts/location/aa3d0241-efd8-4d59-80e1-93ddbc5a4481
davis medical school,http://history.archives.mbl.edu/concepts/location/30d7c9dc-e9ec-4be1-ad04-d01177e5f6f7
institute of industrial medicine,http://history.archives.mbl.edu/concepts/location/e9bd45b0-c737-4084-b479-596a580ee7eb
"7 west mt. vernon place, baltimore, md",http://history.archives.mbl.edu/concepts/location/b8e17382-f0a5-4fb8-9a3f-b2af8780c555
"25 hillside ave., cambridge, ma",http://history.archives.mbl.edu/concepts/location/080c4338-6af9-42c4-b923-1d7015a28648
"beaumont, belgium",http://history.archives.mbl.edu/concepts/location/ae2a4773-653e-426b-bbf7-aae167d28592
"belgrade, servia",http://history.archives.mbl.edu/concepts/location/df088e1f-5519-4e59-b8ad-d6f1579c02f9
"brewster, ma",http://history.archives.mbl.edu/concepts/location/95a9909b-244d-4d24-b34b-38f1918a963c
pacific biomedical research center,http://history.archives.mbl.edu/concepts/location/2782e362-58f2-460e-bbfa-2ae3ccb01d5b
cold spring harbor.,http://history.archives.mbl.edu/concepts/location/87359c08-14b2-4795-bae9-81300fea7e30
"windsor, vt",http://history.archives.mbl.edu/concepts/location/1aa948c4-be01-437c-81ea-eb36cac4f5ae
"washington, pa",http://history.archives.mbl.edu/concepts/location/22862965-4dd6-48a5-9fae-ac01584b1958
honolulu,http://history.archives.mbl.edu/concepts/location/673d69e4-8bf0-4770-982a-c51fd50b5a63
"national institute of neurological diseases and stroke, national institute of health",http://history.archives.mbl.edu/concepts/location/41a2896d-e688-4b76-b9ab-ef0f6d6a462c
brazil.,http://history.archives.mbl.edu/concepts/location/adee50b3-19a3-457a-9ed8-0677f0762731
u. s. bureau of commercial fisheries,http://history.archives.mbl.edu/concepts/location/35f10c03-51f2-4a3f-9d7a-4286af57b233
toronto,http://history.archives.mbl.edu/concepts/location/1b5a2452-0305-4484-b2d7-83d72dd67c03
stony brook,http://history.archives.mbl.edu/concepts/location/d294b21c-7530-4cdc-bfcd-ca9a1af19558
"723 williams st., atlanta, ga",http://history.archives.mbl.edu/concepts/location/e858eb36-7a82-42b1-9460-56b0a0e8d79b
"crescent road, riverside, ct",http://history.archives.mbl.edu/concepts/location/cb3eb8e4-0abf-45f3-8ff8-32fec6fbf8e3
"swarthmore, pa",http://history.archives.mbl.edu/concepts/location/c5c451a6-a205-4a84-be34-3984b1c7e054
"lawrence, ks",http://history.archives.mbl.edu/concepts/location/1161d1c2-8d4c-4f20-b3df-fc1c87317709
"ithaca, ny",http://history.archives.mbl.edu/concepts/location/224c3216-ede3-4bab-b9a7-f7ed1f662248
boston,http://history.archives.mbl.edu/concepts/location/6e38347d-52ed-429e-b61f-ade96abcb578
"501 s. 42nd st., philadelphia, pa",http://history.archives.mbl.edu/concepts/location/73cbad23-7bc8-4942-99a0-24329ef2c8d2
"2 mackenzie rd., morristown, nj",http://history.archives.mbl.edu/concepts/location/e6d1e67f-b8e1-481f-891a-845da9e905eb
"150 n. professor street, oberlin, oh",http://history.archives.mbl.edu/concepts/location/670df074-8ca9-4b04-b1ac-47811eb8293f
university of sao paulo,http://history.archives.mbl.edu/concepts/location/362cbcd3-d43e-411f-bbea-e0b09a199f8a
san diego,http://history.archives.mbl.edu/concepts/location/4e80f505-17e1-47d9-9f61-d53f3e55de95
the czech republic,http://history.archives.mbl.edu/concepts/location/5c069f5a-00d3-4cc9-9469-d781878e4489
"altona, germany",http://history.archives.mbl.edu/concepts/location/25b49c2a-43e4-4068-a293-0466ede5a06a
"rio de janiero, brazil",http://history.archives.mbl.edu/concepts/location/696f4bd1-f530-49e1-b715-93ec809c14a8
