Year,Course URI,Course Group URI,Course Group,Course Name
1935,http://history.archives.mbl.edu/concepts/course/64126023-4351-4770-9252-09e8b8039269,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1935
1935,http://history.archives.mbl.edu/concepts/course/86fe48d5-04b6-49c7-a34e-0d659e5d0200,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1935
1936,http://history.archives.mbl.edu/concepts/course/a566d12b-f6d1-4813-99f5-bbcf658a0c9a,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1936
1936,http://history.archives.mbl.edu/concepts/course/e91ebc10-922c-44cf-8d7f-62223a8d8910,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1936
1936,http://history.archives.mbl.edu/concepts/course/3b9fe71e-8e8d-4aa5-bc5c-663fabb7ac08,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1936
1936,http://history.archives.mbl.edu/concepts/course/4d10c1bd-68f0-402e-a7b0-8856d31d6901,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1936
1936,http://history.archives.mbl.edu/concepts/course/99eeec35-8fb2-4502-aa08-7b3218803a54,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1936
1927,http://history.archives.mbl.edu/concepts/course/c1cce570-7dd5-4961-a95f-1e1a217f6df1,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1927
1927,http://history.archives.mbl.edu/concepts/course/de633f6e-e064-4a22-9b33-62e722067b97,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1927
1927,http://history.archives.mbl.edu/concepts/course/24328580-53b9-466a-9d2e-749554211fe6,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1927
1927,http://history.archives.mbl.edu/concepts/course/ad14fa57-c38c-47e1-af3f-5bcd1f80da10,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1927
1927,http://history.archives.mbl.edu/concepts/course/dd30b6e8-d202-42bb-9879-35d638821503,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1927
1928,http://history.archives.mbl.edu/concepts/course/456be0cc-6997-4b5c-9b8f-b0836c4ba63e,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1928
1928,http://history.archives.mbl.edu/concepts/course/2b7baadc-780c-455b-ac64-3c1a3c85ee83,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1928
1928,http://history.archives.mbl.edu/concepts/course/b99e61b8-32b8-4958-8aa3-672f3cb16781,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1928
1928,http://history.archives.mbl.edu/concepts/course/ffff87e1-e4b9-4a81-949a-0d9588fb80c0,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1928
1928,http://history.archives.mbl.edu/concepts/course/ea78ef19-a9cb-47d0-b74c-7de117f4181a,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1928
1929,http://history.archives.mbl.edu/concepts/course/740b5b75-0edb-4e0f-8482-6386d1fdb1bf,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1929
1929,http://history.archives.mbl.edu/concepts/course/3e7b9b36-0127-4696-a818-66ec20ad9de1,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1929
